"AGE"	"POP"	"time"	"SEX"
15	-673947	2011	"Male"
16	-677386	2011	"Male"
17	-626120	2011	"Male"
18	-619798	2011	"Male"
19	-630546	2011	"Male"
20	-618313	2011	"Male"
21	-609722	2011	"Male"
22	-620406	2011	"Male"
23	-648077	2011	"Male"
24	-670929	2011	"Male"
25	-688052	2011	"Male"
26	-709698	2011	"Male"
27	-729256	2011	"Male"
28	-732887	2011	"Male"
29	-735320	2011	"Male"
30	-754686	2011	"Male"
31	-789395	2011	"Male"
32	-775893	2011	"Male"
33	-803997	2011	"Male"
34	-827075	2011	"Male"
35	-855185	2011	"Male"
36	-904827	2011	"Male"
37	-967215	2011	"Male"
38	-970926	2011	"Male"
39	-948309	2011	"Male"
40	-924356	2011	"Male"
41	-899735	2011	"Male"
42	-901798	2011	"Male"
43	-882816	2011	"Male"
44	-829597	2011	"Male"
45	-733224	2011	"Male"
46	-842128	2011	"Male"
47	-813913	2011	"Male"
48	-791280	2011	"Male"
49	-768363	2011	"Male"
50	-767001	2011	"Male"
51	-773590	2011	"Male"
52	-787528	2011	"Male"
53	-765687	2011	"Male"
54	-757532	2011	"Male"
55	-795624	2011	"Male"
56	-816333	2011	"Male"
57	-830755	2011	"Male"
58	-875857	2011	"Male"
59	-921225	2011	"Male"
60	-977307	2011	"Male"
61	-1049505	2011	"Male"
62	-1117194	2011	"Male"
63	-1092068	2011	"Male"
64	-952709	2011	"Male"
65	-672586	2011	"Male"
66	-734936	2011	"Male"
67	-827726	2011	"Male"
68	-807225	2011	"Male"
69	-811903	2011	"Male"
70	-768710	2011	"Male"
71	-683559	2011	"Male"
72	-597285	2011	"Male"
73	-620830	2011	"Male"
74	-621065	2011	"Male"
75	-595352	2011	"Male"
76	-549764	2011	"Male"
77	-511667	2011	"Male"
78	-489839	2011	"Male"
79	-460077	2011	"Male"
80	-419993	2011	"Male"
81	-379698	2011	"Male"
82	-346303	2011	"Male"
83	-312260	2011	"Male"
84	-277285	2011	"Male"
85	-240586	2011	"Male"
86	-199162	2011	"Male"
87	-157232	2011	"Male"
88	-123730	2011	"Male"
89	-99725	2011	"Male"
90	-81723	2011	"Male"
91	-67981	2011	"Male"
92	-48541	2011	"Male"
93	-39890	2011	"Male"
94	-31287	2011	"Male"
95	-23957	2011	"Male"
96	-17548	2011	"Male"
97	-12647	2011	"Male"
98	-8597	2011	"Male"
99	-5621	2011	"Male"
100	-8426	2011	"Male"
0	-552718	2012	"Male"
1	-562381	2012	"Male"
2	-571228	2012	"Male"
3	-580101	2012	"Male"
4	-583680	2012	"Male"
5	-580689	2012	"Male"
6	-567573	2012	"Male"
7	-570997	2012	"Male"
8	-589638	2012	"Male"
9	-601460	2012	"Male"
10	-611635	2012	"Male"
11	-619648	2012	"Male"
12	-618902	2012	"Male"
13	-657007	2012	"Male"
14	-660146	2012	"Male"
15	-661410	2012	"Male"
16	-673949	2012	"Male"
17	-677336	2012	"Male"
18	-626047	2012	"Male"
19	-619695	2012	"Male"
20	-630404	2012	"Male"
21	-618255	2012	"Male"
22	-609637	2012	"Male"
23	-620317	2012	"Male"
24	-647983	2012	"Male"
25	-670825	2012	"Male"
26	-687202	2012	"Male"
27	-708821	2012	"Male"
28	-728346	2012	"Male"
29	-731940	2012	"Male"
30	-734361	2012	"Male"
31	-753807	2012	"Male"
32	-788470	2012	"Male"
33	-774976	2012	"Male"
34	-803034	2012	"Male"
35	-826018	2012	"Male"
36	-854179	2012	"Male"
37	-903726	2012	"Male"
38	-965967	2012	"Male"
39	-969584	2012	"Male"
40	-946897	2012	"Male"
41	-922957	2012	"Male"
42	-898269	2012	"Male"
43	-900247	2012	"Male"
44	-881154	2012	"Male"
45	-827890	2012	"Male"
46	-731611	2012	"Male"
47	-840131	2012	"Male"
48	-811828	2012	"Male"
49	-789094	2012	"Male"
50	-765987	2012	"Male"
51	-764451	2012	"Male"
52	-770800	2012	"Male"
53	-784405	2012	"Male"
54	-762410	2012	"Male"
55	-754028	2012	"Male"
56	-791627	2012	"Male"
57	-811854	2012	"Male"
58	-825728	2012	"Male"
59	-869963	2012	"Male"
60	-914478	2012	"Male"
61	-969537	2012	"Male"
62	-1040254	2012	"Male"
63	-1107056	2012	"Male"
64	-1081586	2012	"Male"
65	-942200	2012	"Male"
66	-664684	2012	"Male"
67	-725671	2012	"Male"
68	-816289	2012	"Male"
69	-795184	2012	"Male"
70	-798933	2012	"Male"
71	-755165	2012	"Male"
72	-669901	2012	"Male"
73	-584066	2012	"Male"
74	-605610	2012	"Male"
75	-603997	2012	"Male"
76	-576682	2012	"Male"
77	-530527	2012	"Male"
78	-491743	2012	"Male"
79	-468363	2012	"Male"
80	-437437	2012	"Male"
81	-396977	2012	"Male"
82	-356749	2012	"Male"
83	-322943	2012	"Male"
84	-288682	2012	"Male"
85	-253946	2012	"Male"
86	-218326	2012	"Male"
87	-179042	2012	"Male"
88	-139645	2012	"Male"
89	-108349	2012	"Male"
90	-86239	2012	"Male"
91	-69694	2012	"Male"
92	-56994	2012	"Male"
93	-39922	2012	"Male"
94	-32116	2012	"Male"
95	-24714	2012	"Male"
96	-18524	2012	"Male"
97	-13256	2012	"Male"
98	-9324	2012	"Male"
99	-6178	2012	"Male"
100	-9486	2012	"Male"
0	-541933	2013	"Male"
1	-552553	2013	"Male"
2	-562226	2013	"Male"
3	-571137	2013	"Male"
4	-580026	2013	"Male"
5	-583611	2013	"Male"
6	-580628	2013	"Male"
7	-567522	2013	"Male"
8	-570950	2013	"Male"
9	-589588	2013	"Male"
10	-601411	2013	"Male"
11	-611591	2013	"Male"
12	-619606	2013	"Male"
13	-618849	2013	"Male"
14	-656937	2013	"Male"
15	-660066	2013	"Male"
16	-661283	2013	"Male"
17	-673768	2013	"Male"
18	-677117	2013	"Male"
19	-625812	2013	"Male"
20	-619431	2013	"Male"
21	-630097	2013	"Male"
22	-617926	2013	"Male"
23	-609312	2013	"Male"
24	-619997	2013	"Male"
25	-647650	2013	"Male"
26	-670484	2013	"Male"
27	-686839	2013	"Male"
28	-708425	2013	"Male"
29	-727906	2013	"Male"
30	-731489	2013	"Male"
31	-733914	2013	"Male"
32	-753325	2013	"Male"
33	-787965	2013	"Male"
34	-774455	2013	"Male"
35	-802421	2013	"Male"
36	-825365	2013	"Male"
37	-853455	2013	"Male"
38	-902877	2013	"Male"
39	-964973	2013	"Male"
40	-968494	2013	"Male"
41	-945730	2013	"Male"
42	-921722	2013	"Male"
43	-896989	2013	"Male"
44	-898827	2013	"Male"
45	-879628	2013	"Male"
46	-826339	2013	"Male"
47	-730097	2013	"Male"
48	-838243	2013	"Male"
49	-809851	2013	"Male"
50	-786926	2013	"Male"
51	-763677	2013	"Male"
52	-761936	2013	"Male"
53	-767992	2013	"Male"
54	-781314	2013	"Male"
55	-759151	2013	"Male"
56	-750484	2013	"Male"
57	-787549	2013	"Male"
58	-807226	2013	"Male"
59	-820472	2013	"Male"
60	-863921	2013	"Male"
61	-907524	2013	"Male"
62	-961350	2013	"Male"
63	-1031195	2013	"Male"
64	-1096847	2013	"Male"
65	-1070117	2013	"Male"
66	-931468	2013	"Male"
67	-656551	2013	"Male"
68	-715930	2013	"Male"
69	-804453	2013	"Male"
70	-782823	2013	"Male"
71	-785208	2013	"Male"
72	-740448	2013	"Male"
73	-655430	2013	"Male"
74	-570088	2013	"Male"
75	-589355	2013	"Male"
76	-585518	2013	"Male"
77	-556985	2013	"Male"
78	-510351	2013	"Male"
79	-470677	2013	"Male"
80	-445832	2013	"Male"
81	-413987	2013	"Male"
82	-373493	2013	"Male"
83	-333181	2013	"Male"
84	-299049	2013	"Male"
85	-264863	2013	"Male"
86	-230896	2013	"Male"
87	-196675	2013	"Male"
88	-159372	2013	"Male"
89	-122587	2013	"Male"
90	-93943	2013	"Male"
91	-73752	2013	"Male"
92	-58608	2013	"Male"
93	-47030	2013	"Male"
94	-32257	2013	"Male"
95	-25467	2013	"Male"
96	-19183	2013	"Male"
97	-14054	2013	"Male"
98	-9815	2013	"Male"
99	-6730	2013	"Male"
100	-10616	2013	"Male"
0	-531077	2014	"Male"
1	-541774	2014	"Male"
2	-552406	2014	"Male"
3	-562139	2014	"Male"
4	-571064	2014	"Male"
5	-579960	2014	"Male"
6	-583552	2014	"Male"
7	-580576	2014	"Male"
8	-567477	2014	"Male"
9	-570902	2014	"Male"
10	-589542	2014	"Male"
11	-601369	2014	"Male"
12	-611550	2014	"Male"
13	-619555	2014	"Male"
14	-618785	2014	"Male"
15	-656860	2014	"Male"
16	-659942	2014	"Male"
17	-661112	2014	"Male"
18	-673558	2014	"Male"
19	-676871	2014	"Male"
20	-625555	2014	"Male"
21	-619140	2014	"Male"
22	-629773	2014	"Male"
23	-617609	2014	"Male"
24	-609009	2014	"Male"
25	-619690	2014	"Male"
26	-647333	2014	"Male"
27	-670142	2014	"Male"
28	-686469	2014	"Male"
29	-708014	2014	"Male"
30	-727473	2014	"Male"
31	-731061	2014	"Male"
32	-733463	2014	"Male"
33	-752860	2014	"Male"
34	-787455	2014	"Male"
35	-773885	2014	"Male"
36	-801811	2014	"Male"
37	-824692	2014	"Male"
38	-852683	2014	"Male"
39	-901983	2014	"Male"
40	-963929	2014	"Male"
41	-967345	2014	"Male"
42	-944513	2014	"Male"
43	-920456	2014	"Male"
44	-895627	2014	"Male"
45	-897326	2014	"Male"
46	-878040	2014	"Male"
47	-824689	2014	"Male"
48	-728515	2014	"Male"
49	-836272	2014	"Male"
50	-807705	2014	"Male"
51	-784635	2014	"Male"
52	-761252	2014	"Male"
53	-759256	2014	"Male"
54	-765069	2014	"Male"
55	-778086	2014	"Male"
56	-755702	2014	"Male"
57	-746745	2014	"Male"
58	-783207	2014	"Male"
59	-802257	2014	"Male"
60	-814962	2014	"Male"
61	-857569	2014	"Male"
62	-900114	2014	"Male"
63	-953248	2014	"Male"
64	-1021982	2014	"Male"
65	-1085577	2014	"Male"
66	-1058293	2014	"Male"
67	-920401	2014	"Male"
68	-647989	2014	"Male"
69	-705835	2014	"Male"
70	-792283	2014	"Male"
71	-769726	2014	"Male"
72	-770301	2014	"Male"
73	-724858	2014	"Male"
74	-640131	2014	"Male"
75	-555160	2014	"Male"
76	-571759	2014	"Male"
77	-565992	2014	"Male"
78	-536294	2014	"Male"
79	-488985	2014	"Male"
80	-448538	2014	"Male"
81	-422451	2014	"Male"
82	-390013	2014	"Male"
83	-349326	2014	"Male"
84	-309025	2014	"Male"
85	-274856	2014	"Male"
86	-241279	2014	"Male"
87	-208417	2014	"Male"
88	-175453	2014	"Male"
89	-140241	2014	"Male"
90	-106561	2014	"Male"
91	-80560	2014	"Male"
92	-62205	2014	"Male"
93	-48518	2014	"Male"
94	-38134	2014	"Male"
95	-25672	2014	"Male"
96	-19846	2014	"Male"
97	-14613	2014	"Male"
98	-10451	2014	"Male"
99	-7117	2014	"Male"
100	-11795	2014	"Male"
0	-520646	2015	"Male"
1	-530926	2015	"Male"
2	-541634	2015	"Male"
3	-552323	2015	"Male"
4	-562069	2015	"Male"
5	-571001	2015	"Male"
6	-579902	2015	"Male"
7	-583502	2015	"Male"
8	-580530	2015	"Male"
9	-567432	2015	"Male"
10	-570858	2015	"Male"
11	-589502	2015	"Male"
12	-601330	2015	"Male"
13	-611501	2015	"Male"
14	-619492	2015	"Male"
15	-618715	2015	"Male"
16	-656741	2015	"Male"
17	-659776	2015	"Male"
18	-660912	2015	"Male"
19	-673323	2015	"Male"
20	-676603	2015	"Male"
21	-625272	2015	"Male"
22	-618833	2015	"Male"
23	-629461	2015	"Male"
24	-617312	2015	"Male"
25	-608718	2015	"Male"
26	-619398	2015	"Male"
27	-647015	2015	"Male"
28	-669795	2015	"Male"
29	-686085	2015	"Male"
30	-707609	2015	"Male"
31	-727063	2015	"Male"
32	-730628	2015	"Male"
33	-733028	2015	"Male"
34	-752390	2015	"Male"
35	-786898	2015	"Male"
36	-773319	2015	"Male"
37	-801181	2015	"Male"
38	-823974	2015	"Male"
39	-851871	2015	"Male"
40	-901043	2015	"Male"
41	-962828	2015	"Male"
42	-966147	2015	"Male"
43	-943265	2015	"Male"
44	-919109	2015	"Male"
45	-894186	2015	"Male"
46	-895764	2015	"Male"
47	-876349	2015	"Male"
48	-822964	2015	"Male"
49	-726863	2015	"Male"
50	-834134	2015	"Male"
51	-805436	2015	"Male"
52	-782229	2015	"Male"
53	-758668	2015	"Male"
54	-756464	2015	"Male"
55	-762014	2015	"Male"
56	-774668	2015	"Male"
57	-752061	2015	"Male"
58	-742763	2015	"Male"
59	-778545	2015	"Male"
60	-797048	2015	"Male"
61	-809168	2015	"Male"
62	-850798	2015	"Male"
63	-892773	2015	"Male"
64	-944997	2015	"Male"
65	-1011806	2015	"Male"
66	-1073942	2015	"Male"
67	-1046085	2015	"Male"
68	-908739	2015	"Male"
69	-639104	2015	"Male"
70	-695443	2015	"Male"
71	-779374	2015	"Male"
72	-755490	2015	"Male"
73	-754492	2015	"Male"
74	-708359	2015	"Male"
75	-623778	2015	"Male"
76	-538984	2015	"Male"
77	-553144	2015	"Male"
78	-545454	2015	"Male"
79	-514352	2015	"Male"
80	-466496	2015	"Male"
81	-425527	2015	"Male"
82	-398502	2015	"Male"
83	-365297	2015	"Male"
84	-324508	2015	"Male"
85	-284514	2015	"Male"
86	-250846	2015	"Male"
87	-218221	2015	"Male"
88	-186328	2015	"Male"
89	-154757	2015	"Male"
90	-122215	2015	"Male"
91	-91625	2015	"Male"
92	-68147	2015	"Male"
93	-51658	2015	"Male"
94	-39476	2015	"Male"
95	-30460	2015	"Male"
96	-20082	2015	"Male"
97	-15179	2015	"Male"
98	-10914	2015	"Male"
99	-7612	2015	"Male"
100	-12901	2015	"Male"
0	-510616	2016	"Male"
1	-520501	2016	"Male"
2	-530793	2016	"Male"
3	-541554	2016	"Male"
4	-552256	2016	"Male"
5	-562008	2016	"Male"
6	-570946	2016	"Male"
7	-579854	2016	"Male"
8	-583457	2016	"Male"
9	-580484	2016	"Male"
10	-567390	2016	"Male"
11	-570820	2016	"Male"
12	-589465	2016	"Male"
13	-601283	2016	"Male"
14	-611442	2016	"Male"
15	-619423	2016	"Male"
16	-618606	2016	"Male"
17	-656581	2016	"Male"
18	-659584	2016	"Male"
19	-660688	2016	"Male"
20	-673066	2016	"Male"
21	-676308	2016	"Male"
22	-624973	2016	"Male"
23	-618537	2016	"Male"
24	-629169	2016	"Male"
25	-617028	2016	"Male"
26	-608441	2016	"Male"
27	-619104	2016	"Male"
28	-646692	2016	"Male"
29	-669434	2016	"Male"
30	-685707	2016	"Male"
31	-707225	2016	"Male"
32	-726649	2016	"Male"
33	-730210	2016	"Male"
34	-732587	2016	"Male"
35	-751877	2016	"Male"
36	-786344	2016	"Male"
37	-772734	2016	"Male"
38	-800510	2016	"Male"
39	-823217	2016	"Male"
40	-851017	2016	"Male"
41	-900052	2016	"Male"
42	-961679	2016	"Male"
43	-964917	2016	"Male"
44	-941934	2016	"Male"
45	-917684	2016	"Male"
46	-892684	2016	"Male"
47	-894100	2016	"Male"
48	-874580	2016	"Male"
49	-821162	2016	"Male"
50	-725068	2016	"Male"
51	-831871	2016	"Male"
52	-803051	2016	"Male"
53	-779664	2016	"Male"
54	-755972	2016	"Male"
55	-753543	2016	"Male"
56	-758776	2016	"Male"
57	-771056	2016	"Male"
58	-748180	2016	"Male"
59	-738486	2016	"Male"
60	-773653	2016	"Male"
61	-791566	2016	"Male"
62	-802988	2016	"Male"
63	-844079	2016	"Male"
64	-885284	2016	"Male"
65	-935873	2016	"Male"
66	-1001282	2016	"Male"
67	-1061908	2016	"Male"
68	-1033200	2016	"Male"
69	-896617	2016	"Male"
70	-629943	2016	"Male"
71	-684404	2016	"Male"
72	-765325	2016	"Male"
73	-740371	2016	"Male"
74	-737737	2016	"Male"
75	-690697	2016	"Male"
76	-606034	2016	"Male"
77	-521846	2016	"Male"
78	-533529	2016	"Male"
79	-523637	2016	"Male"
80	-491215	2016	"Male"
81	-443075	2016	"Male"
82	-401905	2016	"Male"
83	-373759	2016	"Male"
84	-339858	2016	"Male"
85	-299266	2016	"Male"
86	-260125	2016	"Male"
87	-227306	2016	"Male"
88	-195498	2016	"Male"
89	-164726	2016	"Male"
90	-135194	2016	"Male"
91	-105358	2016	"Male"
92	-77725	2016	"Male"
93	-56767	2016	"Male"
94	-42172	2016	"Male"
95	-31643	2016	"Male"
96	-23916	2016	"Male"
97	-15420	2016	"Male"
98	-11383	2016	"Male"
99	-7984	2016	"Male"
100	-14040	2016	"Male"
0	-501051	2017	"Male"
1	-510478	2017	"Male"
2	-520373	2017	"Male"
3	-530718	2017	"Male"
4	-541490	2017	"Male"
5	-552197	2017	"Male"
6	-561955	2017	"Male"
7	-570900	2017	"Male"
8	-579811	2017	"Male"
9	-583412	2017	"Male"
10	-580442	2017	"Male"
11	-567353	2017	"Male"
12	-570785	2017	"Male"
13	-589420	2017	"Male"
14	-601226	2017	"Male"
15	-611376	2017	"Male"
16	-619318	2017	"Male"
17	-618460	2017	"Male"
18	-656396	2017	"Male"
19	-659369	2017	"Male"
20	-660443	2017	"Male"
21	-672783	2017	"Male"
22	-675995	2017	"Male"
23	-624685	2017	"Male"
24	-618260	2017	"Male"
25	-628889	2017	"Male"
26	-616757	2017	"Male"
27	-608163	2017	"Male"
28	-618806	2017	"Male"
29	-646356	2017	"Male"
30	-669079	2017	"Male"
31	-685348	2017	"Male"
32	-706837	2017	"Male"
33	-726247	2017	"Male"
34	-729787	2017	"Male"
35	-732106	2017	"Male"
36	-751366	2017	"Male"
37	-785772	2017	"Male"
38	-772110	2017	"Male"
39	-799802	2017	"Male"
40	-822421	2017	"Male"
41	-850116	2017	"Male"
42	-899016	2017	"Male"
43	-960499	2017	"Male"
44	-963604	2017	"Male"
45	-940525	2017	"Male"
46	-916196	2017	"Male"
47	-891083	2017	"Male"
48	-892356	2017	"Male"
49	-872731	2017	"Male"
50	-819203	2017	"Male"
51	-723167	2017	"Male"
52	-829491	2017	"Male"
53	-800505	2017	"Male"
54	-776985	2017	"Male"
55	-753148	2017	"Male"
56	-750444	2017	"Male"
57	-755351	2017	"Male"
58	-767204	2017	"Male"
59	-744009	2017	"Male"
60	-733995	2017	"Male"
61	-768501	2017	"Male"
62	-785714	2017	"Male"
63	-796845	2017	"Male"
64	-837213	2017	"Male"
65	-876992	2017	"Male"
66	-926423	2017	"Male"
67	-990377	2017	"Male"
68	-1049188	2017	"Male"
69	-1019786	2017	"Male"
70	-884098	2017	"Male"
71	-620197	2017	"Male"
72	-672375	2017	"Male"
73	-750385	2017	"Male"
74	-724324	2017	"Male"
75	-719777	2017	"Male"
76	-671509	2017	"Male"
77	-587205	2017	"Male"
78	-503757	2017	"Male"
79	-512659	2017	"Male"
80	-500591	2017	"Male"
81	-467071	2017	"Male"
82	-418982	2017	"Male"
83	-377449	2017	"Male"
84	-348238	2017	"Male"
85	-313924	2017	"Male"
86	-274085	2017	"Male"
87	-236148	2017	"Male"
88	-204046	2017	"Male"
89	-173214	2017	"Male"
90	-144241	2017	"Male"
91	-116841	2017	"Male"
92	-89618	2017	"Male"
93	-64936	2017	"Male"
94	-46493	2017	"Male"
95	-33919	2017	"Male"
96	-24935	2017	"Male"
97	-18434	2017	"Male"
98	-11610	2017	"Male"
99	-8361	2017	"Male"
100	-15121	2017	"Male"
0	-491783	2018	"Male"
1	-500919	2018	"Male"
2	-510356	2018	"Male"
3	-520301	2018	"Male"
4	-530657	2018	"Male"
5	-541434	2018	"Male"
6	-552146	2018	"Male"
7	-561910	2018	"Male"
8	-570859	2018	"Male"
9	-579768	2018	"Male"
10	-583371	2018	"Male"
11	-580405	2018	"Male"
12	-567319	2018	"Male"
13	-570743	2018	"Male"
14	-589365	2018	"Male"
15	-601163	2018	"Male"
16	-611275	2018	"Male"
17	-619177	2018	"Male"
18	-618291	2018	"Male"
19	-656189	2018	"Male"
20	-659133	2018	"Male"
21	-660175	2018	"Male"
22	-672483	2018	"Male"
23	-675694	2018	"Male"
24	-624415	2018	"Male"
25	-617995	2018	"Male"
26	-628622	2018	"Male"
27	-616485	2018	"Male"
28	-607881	2018	"Male"
29	-618495	2018	"Male"
30	-646026	2018	"Male"
31	-668741	2018	"Male"
32	-684986	2018	"Male"
33	-706460	2018	"Male"
34	-725842	2018	"Male"
35	-729325	2018	"Male"
36	-731627	2018	"Male"
37	-750838	2018	"Male"
38	-785161	2018	"Male"
39	-771452	2018	"Male"
40	-799057	2018	"Male"
41	-821582	2018	"Male"
42	-849174	2018	"Male"
43	-897951	2018	"Male"
44	-959239	2018	"Male"
45	-962213	2018	"Male"
46	-939053	2018	"Male"
47	-914609	2018	"Male"
48	-889405	2018	"Male"
49	-890533	2018	"Male"
50	-870720	2018	"Male"
51	-817128	2018	"Male"
52	-721168	2018	"Male"
53	-826949	2018	"Male"
54	-797845	2018	"Male"
55	-774177	2018	"Male"
56	-750150	2018	"Male"
57	-747165	2018	"Male"
58	-751697	2018	"Male"
59	-763063	2018	"Male"
60	-739629	2018	"Male"
61	-729265	2018	"Male"
62	-763001	2018	"Male"
63	-779891	2018	"Male"
64	-790559	2018	"Male"
65	-829607	2018	"Male"
66	-868393	2018	"Male"
67	-916618	2018	"Male"
68	-978840	2018	"Male"
69	-1035931	2018	"Male"
70	-1005915	2018	"Male"
71	-870767	2018	"Male"
72	-609570	2018	"Male"
73	-659571	2018	"Male"
74	-734511	2018	"Male"
75	-707107	2018	"Male"
76	-700249	2018	"Male"
77	-651126	2018	"Male"
78	-567307	2018	"Male"
79	-484486	2018	"Male"
80	-490582	2018	"Male"
81	-476505	2018	"Male"
82	-442193	2018	"Male"
83	-393995	2018	"Male"
84	-352178	2018	"Male"
85	-322170	2018	"Male"
86	-287997	2018	"Male"
87	-249271	2018	"Male"
88	-212400	2018	"Male"
89	-181180	2018	"Male"
90	-152024	2018	"Male"
91	-124967	2018	"Male"
92	-99652	2018	"Male"
93	-75092	2018	"Male"
94	-53352	2018	"Male"
95	-37520	2018	"Male"
96	-26823	2018	"Male"
97	-19291	2018	"Male"
98	-13934	2018	"Male"
99	-8564	2018	"Male"
100	-16172	2018	"Male"
0	-482822	2019	"Male"
1	-491656	2019	"Male"
2	-500803	2019	"Male"
3	-510287	2019	"Male"
4	-520243	2019	"Male"
5	-530603	2019	"Male"
6	-541386	2019	"Male"
7	-552102	2019	"Male"
8	-561871	2019	"Male"
9	-570817	2019	"Male"
10	-579729	2019	"Male"
11	-583335	2019	"Male"
12	-580371	2019	"Male"
13	-567278	2019	"Male"
14	-570692	2019	"Male"
15	-589305	2019	"Male"
16	-601066	2019	"Male"
17	-611141	2019	"Male"
18	-619013	2019	"Male"
19	-618102	2019	"Male"
20	-655963	2019	"Male"
21	-658874	2019	"Male"
22	-659891	2019	"Male"
23	-672194	2019	"Male"
24	-675412	2019	"Male"
25	-624157	2019	"Male"
26	-617741	2019	"Male"
27	-628354	2019	"Male"
28	-616209	2019	"Male"
29	-607588	2019	"Male"
30	-618190	2019	"Male"
31	-645712	2019	"Male"
32	-668400	2019	"Male"
33	-684635	2019	"Male"
34	-706079	2019	"Male"
35	-725399	2019	"Male"
36	-728865	2019	"Male"
37	-731132	2019	"Male"
38	-750276	2019	"Male"
39	-784516	2019	"Male"
40	-770760	2019	"Male"
41	-798271	2019	"Male"
42	-820704	2019	"Male"
43	-848205	2019	"Male"
44	-896814	2019	"Male"
45	-957903	2019	"Male"
46	-960760	2019	"Male"
47	-937483	2019	"Male"
48	-912946	2019	"Male"
49	-887649	2019	"Male"
50	-888551	2019	"Male"
51	-868589	2019	"Male"
52	-814944	2019	"Male"
53	-719033	2019	"Male"
54	-824291	2019	"Male"
55	-795056	2019	"Male"
56	-771195	2019	"Male"
57	-746976	2019	"Male"
58	-743665	2019	"Male"
59	-747771	2019	"Male"
60	-758714	2019	"Male"
61	-735015	2019	"Male"
62	-724213	2019	"Male"
63	-757522	2019	"Male"
64	-773926	2019	"Male"
65	-783591	2019	"Male"
66	-821710	2019	"Male"
67	-859461	2019	"Male"
68	-906234	2019	"Male"
69	-966802	2019	"Male"
70	-1022207	2019	"Male"
71	-991131	2019	"Male"
72	-856220	2019	"Male"
73	-598246	2019	"Male"
74	-645953	2019	"Male"
75	-717465	2019	"Male"
76	-688372	2019	"Male"
77	-679481	2019	"Male"
78	-629558	2019	"Male"
79	-546084	2019	"Male"
80	-464073	2019	"Male"
81	-467474	2019	"Male"
82	-451644	2019	"Male"
83	-416349	2019	"Male"
84	-368131	2019	"Male"
85	-326316	2019	"Male"
